case,k,level,precision,MCR,|M|
PlusTokenPonzi,10,0,0.9779593020445647,0.9104591185107597,20689
PlusTokenPonzi,10,1,0.9911874076715399,0.8333659516151295,19631
PlusTokenPonzi,10,2,0.9837453766789955,0.8492522740733429,20548
PlusTokenPonzi,10,3,0.9900301651413671,0.8313886922645236,19559
PlusTokenPonzi,20,0,0.977682237573064,0.9105943766715553,20701
PlusTokenPonzi,20,1,0.9872409097786071,0.8349865160303401,19829
PlusTokenPonzi,20,2,0.9778613804080452,0.9111345382106256,20733
PlusTokenPonzi,20,3,0.9865318154096361,0.8323584320852678,19676
PlusTokenPonzi,30,0,0.9776159004293502,0.9112740183037881,20729
PlusTokenPonzi,30,1,0.983903319626918,0.8356590377657007,19942
PlusTokenPonzi,30,2,0.9778323936195846,0.9115887393830951,20751
PlusTokenPonzi,30,3,0.9833450386274707,0.8351664477242168,19934
PlusTokenPonzi,40,0,0.9776847977684798,0.9122258231793291,20793
PlusTokenPonzi,40,1,0.9808579221423258,0.8384768177840575,20165
PlusTokenPonzi,40,2,0.9778473392728149,0.9117250637374482,20765
PlusTokenPonzi,40,3,0.9798724098709263,0.8390890256039023,20221
