hash,from,to,value,timeStamp,blockNumber,tokenSymbol,contractAddress,isError,gasPrice,gasUsed
AlphaHomora_0,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.245572278162027,1447664456,0,,,0,0,0
AlphaHomora_1,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.824969124960436,1447707976,0,,,0,0,0
AlphaHomora_2,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.8984128044183838,1447794082,0,,,0,0,0
AlphaHomora_3,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.9845667130432136,1447837359,0,,,0,0,0
AlphaHomora_4,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.7869396205105094,1447880532,0,,,0,0,0
AlphaHomora_5,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,1.8922753185179897,1447923926,0,,,0,0,0
AlphaHomora_6,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,1.0928871105341325,1447967013,0,,,0,0,0
AlphaHomora_7,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.8450919806626253,1448010281,0,,,0,0,0
AlphaHomora_8,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.3549531562896751,1448053309,0,,,0,0,0
AlphaHomora_9,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.3964801205744111,1448096522,0,,,0,0,0
AlphaHomora_10,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,1.5971802678695748,1448139726,0,,,0,0,0
AlphaHomora_11,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,2.096420883738867,1448182843,0,,,0,0,0
AlphaHomora_12,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,1.8415864003086428,1448227055,0,,,0,0,0
AlphaHomora_13,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.7560456003830097,1448270081,0,,,0,0,0
AlphaHomora_14,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.1932795896923777,1448313531,0,,,0,0,0
AlphaHomora_15,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.1821961975146446,1448356114,0,,,0,0,0
AlphaHomora_16,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.3696324481466464,1448399352,0,,,0,0,0
AlphaHomora_17,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,1.945330302328854,1448442847,0,,,0,0,0
AlphaHomora_18,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,1.9157849082518077,1448485542,0,,,0,0,0
AlphaHomora_19,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,2.223930129805029,1448528746,0,,,0,0,0
AlphaHomora_20,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,2.3674556481839306,1448572613,0,,,0,0,0
AlphaHomora_21,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,2.549686719583377,1448616020,0,,,0,0,0
AlphaHomora_22,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,2.3042122891751475,1448659018,0,,,0,0,0
AlphaHomora_23,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,2.533308573646881,1448701842,0,,,0,0,0
AlphaHomora_24,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,1.7942060641489683,1448745680,0,,,0,0,0
AlphaHomora_25,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,1.5550519314978666,1448789550,0,,,0,0,0
AlphaHomora_26,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,1.3511763598524629,1448831218,0,,,0,0,0
AlphaHomora_27,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,1.5681778900452,1448874780,0,,,0,0,0
AlphaHomora_28,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.2800195371206386,1448918777,0,,,0,0,0
AlphaHomora_29,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.1847472660246287,1449005081,0,,,0,0,0
AlphaHomora_30,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.6258882426442032,1449046998,0,,,0,0,0
AlphaHomora_31,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.5362461380427629,1449091177,0,,,0,0,0
AlphaHomora_32,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.406945849497266,1449134385,0,,,0,0,0
AlphaHomora_33,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.7632062213476041,1449177351,0,,,0,0,0
AlphaHomora_34,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.9157739848794628,1449220281,0,,,0,0,0
AlphaHomora_35,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.8484344848831356,1449263341,0,,,0,0,0
AlphaHomora_36,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.8355650542351779,1449306848,0,,,0,0,0
AlphaHomora_37,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.8591489331474338,1449349585,0,,,0,0,0
AlphaHomora_38,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.7126766155378168,1449393628,0,,,0,0,0
AlphaHomora_39,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.59307229230055,1449436866,0,,,0,0,0
AlphaHomora_40,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.6865179671643615,1449479397,0,,,0,0,0
AlphaHomora_41,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.9209789597751707,1449522907,0,,,0,0,0
AlphaHomora_42,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,1.286478095913926,1449567689,0,,,0,0,0
AlphaHomora_43,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0x8db98f07d8bec0038da3d13ed93adcf09316ef66,0.4796501981775318,1449609729,0,,,0,0,0
