,0,1,2,3,4
0,0,0,2015-11-20,44167.0,1
1,1,0,2016-03-15,80.76702702000001,1
2,1,0,2016-03-22,83.1969565,1
3,1,0,2016-03-22,83.19698545,1
4,1,0,2016-03-22,10.48620693,1
5,2,1,2016-05-17,0.1,1
6,2,1,2016-05-18,0.05,1
7,2,1,2016-05-18,0.28,1
8,2,1,2016-05-19,0.27,1
9,2,1,2016-05-19,1.2000000000000002,1
10,2,1,2016-05-20,0.1,1
11,2,1,2016-05-20,0.4,1
12,2,1,2016-05-22,0.02,1
13,2,1,2016-05-22,0.3,1
14,2,1,2016-05-22,0.11,1
15,2,1,2016-05-23,0.1,1
16,2,1,2016-05-23,0.06,1
17,2,1,2016-05-23,0.5,1
18,2,1,2016-05-25,0.19,1
19,2,1,2016-05-26,0.2,1
20,2,1,2016-05-26,0.17,1
21,2,1,2016-05-28,0.16,1
22,2,1,2016-05-30,0.15,1
23,3,0,2016-06-01,0.4108463434675431,1
24,2,1,2016-06-03,0.2,1
25,2,1,2016-06-03,0.5,1
26,2,1,2016-06-05,0.2,1
27,2,1,2016-06-05,0.5,1
28,2,1,2016-06-05,1.5,1
29,2,1,2016-06-05,0.17,1
30,2,1,2016-06-06,0.26,1
31,4,0,2016-06-06,69.25,1
32,4,0,2016-06-06,40.5,1
33,2,1,2016-06-06,0.13,1
34,2,1,2016-06-06,0.46,1
35,2,1,2016-06-06,2.0,1
36,2,1,2016-06-07,0.5,1
37,2,1,2016-06-07,2.0,1
38,2,1,2016-06-07,1.0,1
39,2,1,2016-06-09,0.37,1
40,2,1,2016-06-09,0.25,1
41,5,2,2016-06-10,0.35585754,1
42,2,1,2016-06-10,0.3,1
43,2,1,2016-06-10,0.2,1
44,2,1,2016-06-10,0.29,1
45,2,1,2016-06-11,0.22,1
46,2,1,2016-06-12,0.11,1
47,2,1,2016-06-12,0.15,1
48,2,1,2016-06-14,0.22,1
49,2,1,2016-06-14,0.15,1
50,2,1,2016-06-15,0.22,1
51,2,1,2016-06-16,1.25,1
52,2,1,2016-06-16,1.0,1
53,2,1,2016-06-16,2.5,1
54,2,1,2016-06-17,0.9,1
55,2,1,2016-06-18,0.76,1
56,2,1,2016-06-19,0.365,1
57,2,1,2016-06-19,0.16,1
58,2,1,2016-06-20,0.4,1
59,2,1,2016-06-20,0.18,1
60,2,1,2016-06-20,0.18,1
61,2,1,2016-06-21,0.187,1
62,2,1,2016-06-21,0.18,1
63,2,1,2016-06-21,0.18,1
64,2,1,2016-06-21,0.18,1
65,2,1,2016-06-21,0.175,1
66,2,1,2016-06-21,0.17,1
67,2,1,2016-06-21,0.18,1
68,2,1,2016-06-22,0.44,1
69,2,1,2016-06-22,1.0,1
70,2,1,2016-06-22,0.29,1
71,2,1,2016-06-24,1.5,1
72,5,3,2016-06-25,0.04,1
73,2,1,2016-06-27,1.2200000000000002,1
74,2,1,2016-06-27,3.4000000000000004,1
75,2,1,2016-06-29,1.15,1
76,2,1,2016-07-01,1.93,1
77,2,1,2016-07-09,1.65,1
78,2,1,2016-07-09,2.0,1
79,2,1,2016-07-10,0.95,1
80,2,1,2016-07-10,2.0,1
81,2,1,2016-07-10,5.0,1
82,2,1,2016-07-11,1.5,1
83,2,1,2016-07-11,1.25,1
84,2,1,2016-07-11,3.0,1
85,2,1,2016-07-12,1.84,1
86,2,1,2016-07-12,2.0,1
87,2,1,2016-07-12,1.32,1
88,2,1,2016-07-12,3.0,1
89,2,1,2016-07-12,3.0,1
90,2,1,2016-07-12,2.0,1
91,2,1,2016-07-13,0.18,1
92,6,3,2016-07-13,0.11511522865841,1
93,2,1,2016-07-13,0.22,1
94,2,1,2016-07-13,0.51,1
95,6,3,2016-07-14,0.125850670311304,1
96,2,1,2016-07-14,0.75,1
97,2,1,2016-07-14,1.9,1
98,2,1,2016-07-14,0.22,1
99,2,1,2016-07-14,2.56,1
